NOMBRE_COMPLETO,NOMBRE_BREVE,LOCALIDAD,PROVINCIA,clave_normalizada
Agrupación Musical Juvenil María Santísima del Rocío de Sevilla,AM Juvenil Rocío,Sevilla,Sevilla,agrupacion musical juvenil maria santisima del rocio de sevilla
Agrupación Musical Juvenil Sagrada Presentación de Sevilla,AM Juvenil Sagrada Presentación,Sevilla,Sevilla,agrupacion musical juvenil sagrada presentacion de sevilla
Agrupación Musical Juvenil Santa María Magdalena de Arahal,AM Juvenil Santa María Magdalena,Arahal,Sevilla,agrupacion musical juvenil santa maria magdalena de arahal
Agrupación Musical Juvenil Virgen de los Reyes de Sevilla,AM Juvenil Virgen de los Reyes,Sevilla,Sevilla,agrupacion musical juvenil virgen de los reyes de sevilla
Agrupación Musical Pasión y Resurrección de Sevilla,AM Pasión y Resurrección,Sevilla,Sevilla,agrupacion musical pasion y resurreccion de sevilla
Banda de Cornetas y Tambores Jesús Nazareno de Sevilla,BCT Jesús Nazareno (Sevilla),Sevilla,Sevilla,banda de cornetas y tambores jesus nazareno de sevilla
Banda de Cornetas y Tambores Juvenil Centuria Romana Macarena de Sevilla,BCT Juvenil Centuria Romana Macarena,Sevilla,Sevilla,banda de cornetas y tambores juvenil centuria romana macarena de sevilla
Banda de Cornetas y Tambores Nuestro Padre Jesús en su Prendimiento de Dos Hermanas,BCT Prendimiento,Dos Hermanas,Sevilla,banda de cornetas y tambores nuestro padre jesus en su prendimiento de dos hermanas
Banda de Cornetas y Tambores Sagrado Corazón de Jesús de Marchena,BCT Sagrado Corazón (Marchena),Marchena,Sevilla,banda de cornetas y tambores sagrado corazon de jesus de marchena
