clave_normalizada,id,nombre_breve,estado
"agrupacion musical juvenil maria santisima del rocio de sevilla",273,"AM Juvenil Rocío",creada
"agrupacion musical juvenil sagrada presentacion de sevilla",274,"AM Juvenil Sagrada Presentación",creada
"agrupacion musical juvenil santa maria magdalena de arahal",275,"AM Juvenil Santa María Magdalena",creada
"agrupacion musical juvenil virgen de los reyes de sevilla",276,"AM Juvenil Virgen de los Reyes",creada
"agrupacion musical pasion y resurreccion de sevilla",277,"AM Pasión y Resurrección",creada
"banda de cornetas y tambores jesus nazareno de sevilla",278,"BCT Jesús Nazareno (Sevilla)",creada
"banda de cornetas y tambores juvenil centuria romana macarena de sevilla",279,"BCT Juvenil Centuria Romana Macarena",creada
"banda de cornetas y tambores nuestro padre jesus en su prendimiento de dos hermanas",280,"BCT Prendimiento",creada
"banda de cornetas y tambores sagrado corazon de jesus de marchena",281,"BCT Sagrado Corazón (Marchena)",creada
