ref;TITULO;FECHA;ESTILO;TIPO;LOCALIDAD;PROVINCIA;DEDICATORIA;DURACION_SEG;AUTOR;BANDA_ESTRENO_CANDIDATA;DETALLES_MARCHA;DATOS_INT;MOTIVO;DISCO_ORIGEN;INSERTADA
M570;Salud;;AM;;;;;;Fernández Carranza, Juan Manuel (id 27, ya en BD);(AM)Nuestra Señora de la Salud (Castro del Rio) (banda nueva, pendiente de alta - ref B31);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5662/;
M575;El camino de la luz;;AM;;Castro del Rio;;Ntro.Padre Jesús Resucitado;216;Bello Romero, Javier (autor nuevo, sin alta todavía);(AM)Nuestra Señora de la Salud (Castro del Rio) (banda nueva, pendiente de alta - ref B31);;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5662/;
M577;La salvación;;AM;;Vélez-Málaga;;Ntro.Padre Jesús de la Sentencia;168;Fernández Carranza, Juan Manuel (id 27, ya en BD);(AM)Nuestra Señora de la Salud (Castro del Rio) (banda nueva, pendiente de alta - ref B31);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5662/;
M584;Gran poder;;AM;;;;;;Moreno Rodríguez, Alejandro (id 87, ya en BD);(AM)Vera Cruz y Caridad (Brenes) (banda nueva, pendiente de alta - ref B32);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5674/;
M585;El dolor de una madre;;AM;;;;;;Moreno Rodríguez, Alejandro (id 87, ya en BD);(AM)Vera Cruz y Caridad (Brenes) (banda nueva, pendiente de alta - ref B32);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5674/;
M588;Al señor de la humildad;;AM;;;;;;Álvarez Barroso, Francisco David (id 20, ya en BD);"(AM)Santa Cruz (Huelva) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5831/;
M590;Sentir de pasión;;AM;;Villarrasa;;Ntro.Padre Jesús de la Bondad en su Entrada en Jerusalén;300;Sánchez Molero, José Manuel (id 76, ya en BD);"(AM)Santa Cruz (Huelva) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5831/;
M591;Amor de dios;;AM;;;;;;Sánchez Molero, José Manuel (id 76, ya en BD);"(AM)Santa Cruz (Huelva) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5831/;
M596;A mi madre del cielo;;AM;;;;;;Sánchez Martín, José María (id 24, ya en BD);"(AM)María Santísima de la Estrella (Granada) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5872/;
M598;Plegaria;;AM;;;;;;Montoya Fernández, Enrique (autor nuevo, sin alta todavía);"(AM)Santísimo Cristo de los Afligidos(Utrera) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5897/;
M600;Santa cruz;;AM;;;;;;Balaguer Coll, Jacinto (autor nuevo, sin alta todavía);"(AM)Santa María Magdalena (Arahal) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5916/;
M603;Gloria eterna;;AM;;;;;320;Frederich Haëndell, George (autor nuevo, sin alta todavía);"(AM)Cristo de la Buena Muerte (Ayamonte) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5930/;
M604;Padre nuestro;;AM;;;;;;Da Rocha Monteiro, Jeronimo (autor nuevo, sin alta todavía);"(AM)Cristo de la Buena Muerte (Ayamonte) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5930/;
M605;Nuestro padre jesús del gran poder;;CCTT;;;;;;Zueco Ramos, Pascual (id 271, ya en BD);"(CT)Stmo.Cristo de las Tres Caídas (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5997/;
M609;Lágrimas de mi amargura;;AM;;Almuñécar;;María Stma.de la Amargura;193;Hedrera Barranco, Rafael (id 1022, ya en BD);"(AM)Nuestra Señora de la Encarnación (Almuñécar) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6003/;
M615;Piedad y misericordia;;CCTT;;;;;218;Tello Guerrero, Miguel Ángel (autor nuevo, sin alta todavía);"(CT)Nuestra Señora del Sol (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6025/;
M617;En tu mirada;;AM;;;;;221;García Bernárdez, Antonio Miguel (id 6, ya en BD);"(AM)Nuestra Señora de la Estrella (Dos Hermanas) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6040/;
M618;Jesús camina con nosotros;;AM;;;;;;Torres Muñoz, Esteban (id 280, ya en BD);"(AM)Nuestra Señora de la Estrella (Dos Hermanas) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6040/;
M619;Rey de jerusalén;;AM;;;;;;Mena Hervás, José Manuel (id 38, ya en BD);"(AM)Nuestra Señora de la Estrella (Dos Hermanas) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6040/;
M627;Sentencia;;CCTT;;;;;;Serén García, Francisco Jesús (id 58, ya en BD);"(CT)Ntro.Padre Jesús de la Sentencia (Almuñecar) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6077/;
M631;Jesús;;CCTT;;;;;;Franco Medina, Luis Mariano (id 387, ya en BD);"(CT)Ntro.Padre Jesús de la Sentencia (Almuñecar) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6077/;
M638;Canticorum iubilo;;AM;;;;;159;Frederich Haëndell, George (autor nuevo, sin alta todavía);AM Cristo del Amor (id 53, ya en BD) [origen: (AM)Santísimo Cristo del Amor (Huelva)];;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6102/;
M640;Cordero de dios;;CCTT;;;;;;Arias Ramiro, Antonio (id 1218, ya en BD);"(CT)Stmo.Cristo de la Expiración (Jaén) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6165/;
M647;La quinta angustia;;CCTT;;;;;;Arias Ramiro, Antonio (id 1218, ya en BD);"(CT)Stmo.Cristo de la Expiración (Jaén) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6165/;
M652;Aniversario nazareno;;AM;;;;;;Herrera Raya, Manuel (id 48, ya en BD);"(AM)Nuestro Padre Jesús Nazareno (La Algaba) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6226/;
M656;Dios padre;;AM;;;;;;Torres Muñoz, Esteban (id 280, ya en BD);(AM)Cristo de las Aguas (Olula del Rio) (banda nueva, pendiente de alta - ref B36);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6410/;
M661;Salve marinera;1870;AM;;;;;145;Oudrid Segura, Cristobal (autor nuevo, sin alta todavía);"(AM)Hermanos Cirineos (Cádiz) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6430/;
M667;Xx aniversario;;AM;;Osuna;;A.M.Hermandad de la Vera Cruz;214;Benítez Chía, Jesús (autor nuevo, sin alta todavía);(AM)Hermandad de la Vera Cruz (Osuna) (banda nueva, pendiente de alta - ref B37);;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6434/;
M669;Padre eterno;;AM;;;;;;Benítez Chía, Jesús (autor nuevo, sin alta todavía);(AM)Hermandad de la Vera Cruz (Osuna) (banda nueva, pendiente de alta - ref B37);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6434/;
M672;Sagrada entrada en jerusalén;;AM;;Osuna;;Hdad.del Dulce Nombre;232;Benítez Chía, Jesús (autor nuevo, sin alta todavía);(AM)Hermandad de la Vera Cruz (Osuna) (banda nueva, pendiente de alta - ref B37);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6434/;
M677;Tu palabra me da vida;;AM;;;;;172;Espinosa Zaragoza, Juan Antonio - PROPUESTA DESCARTADA, sin autor resuelto: investigar manualmente;"(AM)Nuestra Señora de las Nieves (Adeje) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6440/;
M680;Nuestro padre jesús;1935;AM;;Jaén;;Ntro.Padre Jesús Nazareno;340;Cebrián Ruíz, Emilio (autor nuevo, sin alta todavía);"(AM)Santísimo Cristo de la Salud (Alcalá la Real) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6447/;
M689;María stma.de la paz;;AM;;;;;302;Pizarro Álvarez, Manuel (autor nuevo, sin alta todavía);(AM)Imperio Romano Nuestro Padre Jesús Nazareno (Aguilar de la frontera) (banda nueva, pendiente de alta - ref B39);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6459/;
M692;Oración nazarena;;AM;;;;;;Pizarro Álvarez, Manuel (autor nuevo, sin alta todavía);(AM)Imperio Romano Nuestro Padre Jesús Nazareno (Aguilar de la frontera) (banda nueva, pendiente de alta - ref B39);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6459/;
M693;Señor de la humildad;;AM;;;;;;Fernández Pericet, Luis Alberto (id 2, ya en BD);(AM)Imperio Romano Nuestro Padre Jesús Nazareno (Aguilar de la frontera) (banda nueva, pendiente de alta - ref B39);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6459/;
M697;Nuestro padre jesús nazareno;;AM;;;;;;Anónima (autor nuevo, sin alta todavía);(AM)Imperio Romano Nuestro Padre Jesús Nazareno (Aguilar de la frontera) (banda nueva, pendiente de alta - ref B39);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6460/;
M698;Ecce homo;;AM;;;;;;Fernández Pericet, Luis Alberto (id 2, ya en BD);(AM)Imperio Romano Nuestro Padre Jesús Nazareno (Aguilar de la frontera) (banda nueva, pendiente de alta - ref B39);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6461/;
M699;Madre de los desamparados;;AM;;;;;;Fernández Pericet, Luis Alberto (id 2, ya en BD);(AM)Imperio Romano Nuestro Padre Jesús Nazareno (Aguilar de la frontera) (banda nueva, pendiente de alta - ref B39);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6461/;
M700;Mayor dolor;;AM;;;;;;Fernández Pericet, Luis Alberto (id 2, ya en BD);(AM)Imperio Romano Nuestro Padre Jesús Nazareno (Aguilar de la frontera) (banda nueva, pendiente de alta - ref B39);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6461/;
M701;Virgen del rosario;;AM;;;;;;Fernández Pericet, Luis Alberto (id 2, ya en BD);(AM)Imperio Romano Nuestro Padre Jesús Nazareno (Aguilar de la frontera) (banda nueva, pendiente de alta - ref B39);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6461/;
M702;Jesús el nazareno;;AM;;Aguilar de la frontera;;Ntro.Padre Jesús Nazareno;394;SIN AUTOR IDENTIFICADO - investigar manualmente;(AM)Imperio Romano Nuestro Padre Jesús Nazareno (Aguilar de la frontera) (banda nueva, pendiente de alta - ref B39);;;V_autor_generico_origen;https://discografiasdemarchasprocesionales.com/discos/6461/;
M703;Última cena;;AM;;;;;;Fernández Pericet, Luis Alberto (id 2, ya en BD);(AM)Imperio Romano Nuestro Padre Jesús Nazareno (Aguilar de la frontera) (banda nueva, pendiente de alta - ref B39);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6461/;
M708;Al cristo de san gil;;AM;;;;;239;Reyes Moscoso, Francisco José (id 383, ya en BD);"(AM)Nuestra Señora del Rosario Civitas Solis (Ecija) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6464/;
M710;Escúchame padre;;AM;;;;;;Mena Hervás, José Manuel (id 38, ya en BD);"(AM)Nuestro Padre Jesús Nazareno (La Rambla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6466/;
M712;Al señor de la columna;2007;AM;;Cuevas del Almanzora;;Señor Atado a la Columna;292;Muñoz Serna, Emilio (id 22, ya en BD);(AM)Virgen del Carmen (Dúrcal) (banda nueva, pendiente de alta - ref B42);;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6471/;
M714;Virgen de la paz;;AM;;;;;;Pérez Torres, José Manuel (id 554, ya en BD);"(AM)Santísimo Cristo de la Vera+Cruz (La Puebla de Cazalla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6473/;
M717;Jesús;;AM;;;;;;Sebastian Bach, Juan (autor nuevo, sin alta todavía);"(AM)María Santísima de los Dolores (Caracabuey) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6475/;
M720;Triunfal;;AM;;Almería;;Hdad.de la Borriquita;279;Vieyte Silva, Juan José (id 578, ya en BD);"(AM)Nuestra Señora del Mar (Huércal de Almería) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6477/;
M721;Entre olivos de amargura;;AM;;;;;;Vieyte Silva, Juan José (id 578, ya en BD);"(AM)Nuestra Señora del Mar (Huércal de Almería) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6477/;
M723;En mis recuerdos;2007;AM;;;;D.Francisco Paredes Ferre;324;Vieyte Silva, Juan José (id 578, ya en BD);"(AM)Nuestra Señora del Mar (Huércal de Almería) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6477/;
M747;Nazareth;;AM;;;;;254;Sánchez Molero, José Manuel (id 76, ya en BD);(AM)Santísimo Cristo de la Expiración (Bailén) (banda nueva, pendiente de alta - ref B44);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6502/;
M748;Rezando a ti dios padre;;AM;;;;;203;Sánchez Crespillo, José Manuel (id 689, ya en BD);(AM)Santísimo Cristo de la Expiración (Bailén) (banda nueva, pendiente de alta - ref B44);;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6502/;
M750;El triunfo de la fé;;AM;;;;;213;García Pérez, Ignacio José (id 110, ya en BD);(AM)Santísimo Cristo de la Expiración (Bailén) (banda nueva, pendiente de alta - ref B44);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6502/;
M752;María magdalena;;AM;;;;;;Infante Jurado, Mario (id 103, ya en BD);"(AM)Santa María de la Esperanza (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6521/;
M755;Carmen;;AM;;;;;;Infante Jurado, Mario (id 103, ya en BD);"(AM)Santa María de la Esperanza (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6521/;
M758;Al amor;2015;AM;;Aracena;;Cristo del Amor;205;Maestre Granados, Marcos (autor nuevo, sin alta todavía);"(AM)La Victoria (La Victoria) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6528/;
M761;Virgen de la victoria;;AM;;;;;;Maestre Granados, Pedro (autor nuevo, sin alta todavía);"(AM)La Victoria (La Victoria) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6528/;
M777;Marcha lenta;;CCTT;;Linares;;Virgen de Linarejos;213;Escámez López, Alberto (id 84, ya en BD);"(CT)Archicofradia del Paso y la Esperanza (Málaga) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6567/;
M779;Estrella madre nuestra;;AM;;;;Virgen de la Estrella, Patrona de Espiel;268;Roldán Roldán, Manuel (id 57, ya en BD);(AM)Sierra del Castillo(Espiel) (banda nueva, pendiente de alta - ref B45);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6574/;
M780;Entrada en jerusalem;;AM;;Espiel;;Hdad.de la Borriquita;243;Ruiz Serrano, Guillermo (id 1167, ya en BD);(AM)Sierra del Castillo(Espiel) (banda nueva, pendiente de alta - ref B45);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6574/;
M783;Amarrao a la columna;;AM;;Espiel;;Hdad. Nuestro Padre Jesús Nazareno;267;Ruiz Serrano, Guillermo (id 1167, ya en BD);(AM)Sierra del Castillo(Espiel) (banda nueva, pendiente de alta - ref B45);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6574/;
M787;Señor...;;AM;;Sevilla;;Ntro.Padre Jesús de la Salud de la Hdad.de los Gitanos;192;Usatorre Montilla, Francisco Javier (id 1210, ya en BD);"(AM)Santa Cecilia (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6583/;
M793;El resurgir;;AM;;Sevilla;;Componentes de la A.M.Santa Cecilia;290;Onia Román, Víctor (id 1230, ya en BD);"(AM)Santa Cecilia (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6583/;
M796;Traición;2013;CCTT;;Úbeda;;Cofradia Sacramental Ntro.Señor Jesucristo en su Prendimiento y María Stma.del Auxilio;235;López Gándara, Cristóbal (id 121, ya en BD);"(CT)Maria Stma.del Amor(Úbeda) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6590/;
M800;En tus manos;2017;CCTT;;Jaén;;Hdad.Stmo.Cristo de la Vera-Cruz y María Stma. de los Dolores;237;Torres Simón, Francisco Javier (id 317, ya en BD);"(CT)Maria Stma.del Amor(Úbeda) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6590/;
M801;Las puertas del cielo;2017;CCTT;;;;B.C.T.María Stma del Amor de Úbeda por su XV Aniversario Fundacional;207;López Gándara, Cristóbal (id 121, ya en BD);"(CT)Maria Stma.del Amor(Úbeda) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6590/;
M802;Consummatum es;2016;CCTT;;Úbeda;;Stmo.Cristo de la Expiración;255;Ortal Ponce, David (id 333, ya en BD);"(CT)Maria Stma.del Amor(Úbeda) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6590/;
M815;La piedad;2017;CCTT;;Huévar del Aljarafe;;Hdad.de la Soledad;233;Gómez Rodríguez, Alejandro (id 523, ya en BD);"(CT)Stmo.Cristo de la Vera-Cruz (Los Palacios y Villafranca) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6607/;
M821;El hijo del hombre;2023;CCTT;;;;;210;Perojil Villar, Jesús Manuel (id 1175, ya en BD);"(CT)Aracena (Aracena) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6610/;
M823;Sangre de cristo;2020;CCTT;;;;;161;Macías Gómez, David (id 445, ya en BD);"(CT)Aracena (Aracena) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6610/;
M825;Victoria;2023;CCTT;;Huelva;;Hdad.La Victoria;212;Macías Gómez, David (id 445, ya en BD);"(CT)Aracena (Aracena) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6610/;
M826;La soledad de maría;2023;CCTT;;;;;186;Estrada Manzano, Tomás (id 1087, ya en BD);"(CT)Aracena (Aracena) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6610/;
M828;La paz;2022;CCTT;;Córdoba;;María Stma.de la Paz y Esperanza Coronada;222;Guzmán Guerrero, Francisco Javier (id 1060, ya en BD);"(CT)Ntra.Sra.de la Salud (Córdoba) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6611/;
M830;Salvación;2017;CCTT;;Jerez de la frontera;;Stmo.Cristo de la Savación;283;Sánchez Martín, José María (id 24, ya en BD);"(CT)Ntra.Sra.de la Salud (Córdoba) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6611/;
M839;Reina de los ángeles;2017;CCTT;;Montemayor;;Hdad.de Ntro.Señor Resucitado y Ntra.Sra.Reina de los Ángeles;202;Guijarro Navajas, Israel (id 444, ya en BD);(CT)Ntro.Padre Jesús Nazareno (Montemayor) (banda nueva, pendiente de alta - ref B46);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6613/;
M847;El alma;;CCTT;;;;Memoria D. Rafael Ángel Ruiz García;252;Guerrero Marín, Manuel Jesús (id 32, ya en BD);"(CT)María Stma. del Amor y la Paz (Montoro) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6614/;
M857;Mi mandamiento;2023;AM;;Huelma;;Componentes de la A.M.Sanjuaneros;223;Sánchez Crespillo, José Manuel (id 689, ya en BD);"(AM)María Santísima de la Esperanza &quot;Sanjuanero (Huelma) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6632/;
M864;El camino a la gloria;2021;AM;;;;;204;Ortiz Morón, Francisco José (id 17, ya en BD);"(AM)Nuestra Señora de la Encarnación (Almuñécar) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6638/;
M869;Padre nuestro;;AM;;;;;233;López Correa, José Manuel (id 1091, ya en BD);"(AM)Nuestra Señora de la Encarnación (Almuñécar) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6638/;
M872;El nazareno;2019;AM;;Ciudad Real;;Hdad.del Nazareno;223;García Pérez, Ignacio José (id 110, ya en BD);"(AM)Nuestro Padre Jesús de la Pasión (Linares) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6643/;
M874;Tu esencia;2020;CCTT;;Arahal;;Ntro.Padre Jesús Nazareno;234;Poza Mesa, Iván (id 686, ya en BD);"(CT)Nuestro Padre Jesús Nazareno (Arahal) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6646/;
M894;Himno al cristo de gracia;;AM;;Córdoba;;Stmo.Cristo de Gracia;265;Prieto Gómez, Antonio José (autor nuevo, sin alta todavía);"(AM)Santísimo Cristo de Gracia (Córdoba) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6660/;
M896;Madre del dulce nombre;2016;CCTT;;Granada;;María Stma.del Dulce Nombre;214;García Pérez, Ignacio José (id 110, ya en BD);"(CT)Nuestro Padre Jesús Despojado de sus Vestiduras (Granada) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6663/;
M898;Preludio;2017;CCTT;;;;Familia León;222;López Gándara, Cristóbal (id 121, ya en BD);"(CT)Nuestro Padre Jesús Despojado de sus Vestiduras (Granada) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/6663/;
