ref;TITULO;FECHA;ESTILO;TIPO;LOCALIDAD;PROVINCIA;DEDICATORIA;DURACION_SEG;AUTOR;BANDA_ESTRENO_CANDIDATA;DETALLES_MARCHA;DATOS_INT;MOTIVO;DISCO_ORIGEN;INSERTADA
M324;Madre ¡he aquí tu hijo!;;AM;;;;;239;Villén Rincón, Rafael (id 114, ya en BD);"(AM)Sagrada Cena (Cádiz) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4459/;
M327;Salud y esperanza;;AM;;;;;252;Álvarez Barroso, Francisco David (id 20, ya en BD);"(AM)Sagrada Cena (Cádiz) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4459/;
M328;Al señor de la madrugá;;AM;;;;;274;Muñoz Serna, Emilio (id 22, ya en BD);"(AM)Sagrada Cena (Cádiz) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4459/;
M331;Rosario;;AM;;;;;;Candela Gaspar, Alberto (autor nuevo, sin alta todavía);(AM)La Oración del Huerto (Yecla) (banda nueva, pendiente de alta - ref B19);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4529/;
M332;Esperanza en tu mirada;;AM;;;;;261;Candela Gaspar, Alberto (autor nuevo, sin alta todavía);(AM)La Oración del Huerto (Yecla) (banda nueva, pendiente de alta - ref B19);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4529/;
M336;A ti...maestro;;AM;;;;;310;Trujillo Ruiz, Raúl Salvador (id 1134, ya en BD);(AM)Maestro Manuel Pozo Lifona (Almodovar del Rio) (banda nueva, pendiente de alta - ref B20);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4540/;
M339;Siguiendo tu cruz;;AM;;;;;254;López Márquez, José Manuel (id 1229, ya en BD);(AM)Maestro Manuel Pozo Lifona (Almodovar del Rio) (banda nueva, pendiente de alta - ref B20);;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4540/;
M344;15 Años de esperanza;;AM;;;;;241;Soto Escaño, Carlos Alberto (id 655, ya en BD);(AM)Nuestra Señora de la Esperanza (Palma de Mallorca) (banda nueva, pendiente de alta - ref B21);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4572/;
M345;Sueños;;AM;;;;;221;Cuenca Vallejo, Francisco Miguel (autor nuevo, sin alta todavía);(AM)Nuestra Señora de la Esperanza (Palma de Mallorca) (banda nueva, pendiente de alta - ref B21);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4572/;
M347;Y en tus manos, mi esperanza;;AM;;;;;204;SIN AUTOR IDENTIFICADO - investigar manualmente;(AM)Nuestra Señora de la Esperanza (Palma de Mallorca) (banda nueva, pendiente de alta - ref B21);;;V_autor_generico_origen;https://discografiasdemarchasprocesionales.com/discos/4572/;
M348;Vida;;AM;;;;;;Soto Escaño, Carlos Alberto (id 655, ya en BD);(AM)Nuestra Señora de la Esperanza (Palma de Mallorca) (banda nueva, pendiente de alta - ref B21);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4572/;
M357;En cuerpo y alma;;AM;;;;;;Sánchez Molero, José Manuel (id 76, ya en BD);"(AM)Cristo de la Buena Muerte (Ayamonte) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4656/;
M361;Stabat mater dolorosa;;AM;;;;;;Frosini Fedi, Marco (autor nuevo, sin alta todavía);"(AM)Cristo de la Buena Muerte (Ayamonte) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4656/;
M367;Silencio en la madrugá;;AM;;;;;;Melgarejo Toscano, Rubén (id 68, ya en BD);"(AM)Santa Cecilia (Aguilar de la fra) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4780/;
M368;Camino del calvario;;AM;;;;;;Melgarejo Toscano, Rubén (id 68, ya en BD);"(AM)Santa Cecilia (Aguilar de la fra) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4780/;
M375;A ti me encomiendo;;AM;;Aguilar de la fra;;Ntro.Padre Jesús Nazareno;272;Melgarejo Toscano, Rubén (id 68, ya en BD);"(AM)Santa Cecilia (Aguilar de la fra) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4780/;
M378;Rosario;;CCTT;;;;;;Guerrero Marín, Manuel Jesús (id 32, ya en BD);"(CT)Ntra.Sra.del Rosario (Arriate) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4794/;
M381;A los pies del maestro;;AM;;;;;240;Ortiz Morón, Francisco José (id 17, ya en BD);"(AM)Santa Marta y Sagrada Cena (León) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4837/;
M393;En brazos de dios;;CCTT;;;;;;Amador Infantes, Manuel (id 29, ya en BD);"(CT)Amor de Cristo y San Sebastián (San Juan de Aznalfarache y Tomares) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4905/;
M397;Orando al padre;;CCTT;;;;;;Amador Infantes, Manuel (id 29, ya en BD);"(CT)Amor de Cristo y San Sebastián (San Juan de Aznalfarache y Tomares) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4905/;
M405;Aniversario nazareno;;AM;;;;;;Muñoz Serna, Emilio (id 22, ya en BD);"(AM)Paz y Caridad (Estepa) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4929/;
M406;Consummatum est;;AM;;;;;241;Blanco Díaz, José Manuel (id 282, ya en BD);"(AM)Paz y Caridad (Estepa) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4929/;
