ID_BANDA;BANDA;TITULO;ANIO;ESTILO;FUENTE;DISCO;URL;FLAGS;MATCH
37;AM Jesús Despojado;Armonia En Tu Trabajadera (Comentario);2022;AM;deezer;Rey Moreno de los Cielos;https://www.deezer.com/track/2036108477;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;Costaleros del Amor (Piano);2022;AM;deezer;Al Dios del Amor;https://www.deezer.com/track/2029292627;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.864
37;AM Jesús Despojado;Despojado de Pasión y Amargura;2023;AM;deezer;Despojado de Pasión y Amargura;https://www.deezer.com/track/2297636425;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;El Alma del Salvador;2024;AM;deezer;El Alma del Salvador;https://www.deezer.com/track/2724725681;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.8
37;AM Jesús Despojado;El Besó tu Frente;2012;AM;deezer;Despojando Tu Amargura;https://www.deezer.com/track/27523611;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;Ella, Reina del Salvador;2012;AM;deezer;Despojando Tu Amargura;https://www.deezer.com/track/27523651;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.837
37;AM Jesús Despojado;EN EL REINO DE TU GLORIA;2019;AM;deezer;LA PROFECÍA;https://www.deezer.com/track/2027646687;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.875
37;AM Jesús Despojado;Encierro;2022;AM;deezer;Al Dios del Amor;https://www.deezer.com/track/2029292617;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;GITANO DIVINO (Comentarios);2022;AM;deezer;Del Salvador al Cielo;https://www.deezer.com/track/2029315287;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;Jesús en Jerusalén;2022;AM;deezer;Por tu Caridad te Flagelaron (En Vivo);https://www.deezer.com/track/2077804767;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.765
37;AM Jesús Despojado;MAESTRO DE NUESTRA FE;2019;AM;deezer;LA PROFECÍA;https://www.deezer.com/track/2027646627;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.829
37;AM Jesús Despojado;No te olvido;2022;AM;apple;No te olvido - Single;https://music.apple.com/es/album/no-te-olvido/1656431934?i=1656431935&uo=4;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;PINTANDO LA VIDA;2019;AM;deezer;LA PROFECÍA;https://www.deezer.com/track/2027646737;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;Plegaria al Señor de la Piedad;2012;AM;deezer;Despojando Tu Amargura;https://www.deezer.com/track/27523561;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.857
37;AM Jesús Despojado;RECUERDOS DE UNA PRIMAVERA;2019;AM;deezer;LA PROFECÍA;https://www.deezer.com/track/2027646727;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.84
37;AM Jesús Despojado;Rendido a los Pies de Dios;2012;AM;deezer;Despojando Tu Amargura;https://www.deezer.com/track/27523511;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.766
37;AM Jesús Despojado;ROSARIUM;2025;AM;deezer;ROSARIUM;https://www.deezer.com/track/3596205742;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;Salida Amarrado a la Columna;2022;AM;deezer;Por tu Caridad te Flagelaron (En Vivo);https://www.deezer.com/track/2077804747;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.833
37;AM Jesús Despojado;SALVE FLAMENCA;2022;AM;deezer;Del Salvador al Cielo;https://www.deezer.com/track/2029315227;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;SEÑOR DEL SALVADOR (Piano);2022;AM;deezer;Del Salvador al Cielo;https://www.deezer.com/track/2029315237;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.857
37;AM Jesús Despojado;SEÑOR TÚ ERES NUESTRA PASIÓN;2019;AM;deezer;LA PROFECÍA;https://www.deezer.com/track/2027646637;sin_autor_detectado,banda_estreno_sin_verificar;
